15/04/2020 ; 15:58:53 ; 169,6 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:58:59 ; 169,6 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:05 ; 168,6 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:11 ; 169,6 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:17 ; 170,6 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:23 ; 169,0 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:29 ; 166,1 ; 2000,0 ; -10,3 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:35 ; 168,0 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:41 ; 166,1 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:47 ; 169,6 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:53 ; 173,4 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 15:59:59 ; 169,3 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 16:00:05 ; 169,3 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 16:00:11 ; 169,0 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 16:00:17 ; 169,9 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 16:00:23 ; 169,0 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
