15/04/2020 ; 11:38:34 ; 169,6 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:38:40 ; 170,2 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:38:46 ; 166,1 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:38:52 ; 170,6 ; 2000,0 ; -10,4 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:38:58 ; 169,3 ; 2000,0 ; -10,0 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:04 ; 173,4 ; 2000,0 ; -10,0 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:10 ; 169,3 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:16 ; 166,1 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:22 ; 169,3 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:28 ; 169,9 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:34 ; 169,6 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:40 ; 169,6 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:46 ; 168,6 ; 2000,0 ; -10,1 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:52 ; 168,0 ; 2000,0 ; -10,0 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:39:58 ; 174,7 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:40:04 ; 170,9 ; 2000,0 ; -10,0 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:40:10 ; 169,3 ; 2000,0 ; -10,0 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
15/04/2020 ; 11:40:16 ; 169,3 ; 2000,0 ; -10,2 ; NOP ; NOP ; NOP ; NOP ; NOP ; NOP ; 
